Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Stage1_Pass,Scope_Category,Skin_Terms,Aging_Terms,Sample_Terms,Age_Contrast_Terms,Intervention_Terms,Incidental_Signals,Off_Topic_Signals,Central_Sentences,Submission_Date,GEO_Link
GSE294339,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [RNA-seq Col14],include,8,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,,,,,,1,2026/06/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294339
GSE294069,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [ChIP-Seq 1],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,skin_direct,young_vs_old,,,,1,2026/06/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294069
GSE294070,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [ChIP-Seq 2],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,skin_direct,young_vs_old,,,,1,2026/06/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294070
GSE329010,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [RNA-Seq],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,skin_direct,young_vs_old,,,,1,2026/06/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329010
GSE329011,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [ChIP-Seq],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,skin_direct,young_vs_old,,,,1,2026/06/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329011
GSE206070,ZNF512B protects critical regulatory regions to safeguard long term genomic integrity. [CUT&RUN],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,cutaneous,age_related; aging_generic; senescence,,,,,,0,2026/06/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206070
GSE206071,ZNF512B protects critical regulatory regions to safeguard long term genomic integrity. [RNA-Seq],exclude,-3,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,intrinsic_skin_aging,cutaneous,age_related; aging_generic; senescence,,,,,lung,0,2026/06/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206071
GSE206077,ZNF512B protects critical regulatory regions to safeguard long term genomic integrity. [screening],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,cellular_senescence,cutaneous,age_related; aging_generic; senescence,,,,,,0,2026/06/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206077
GSE322556,Langerhans cells regulate immunity in adulthood by regulating dermal lymphatic development in early life,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis; dermis,,,,,,,0,2026/06/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE322556
GSE329112,Aging disrupts spatiotemporal coordination in the cycling murine ovary,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,chronological_aging; age_related; aging_generic,,,,,reproductive,0,2026/06/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329112
GSE284666,SenCat: Redefining human cell senescence through multiomic profiling of multiple senescent cell types,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2026/06/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284666
GSE285826,SenCat: Redefining human cell senescence,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2026/06/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285826
GSE334230,Single-Cell Atlas of Photoaged Skin Reveals JAK-STAT Blockade as a Strategy to Reverse Dermal Remodeling,include,18,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; cutaneous; dermis,photoaging; chronological_aging; aging_generic,skin_direct,photoaging_model,aged_skin_treatment,,,2,2026/06/10,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334230
GSE334271,In vivo base editing partially rescues bone dysplasia in a mouse model of Hutchinson-Gilford Progeria Syndrome,exclude,-6,研究核心为特定疾病模型，未直接研究皮肤老化,exclude,研究核心为特定疾病模型，未直接研究皮肤老化,two_stage_rule,True,intrinsic_skin_aging,dermis,aging_generic; premature_aging,,,,,skeletal_repair; systemic_premature_aging,0,2026/06/10,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334271
GSE328274,Adipose Derived Reprogrammed iMSCs Exhibit Enhanced Therapeutic Potential for Treating Skin Fibrosis,exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin,senescence; rejuvenation,,,,,,0,2026/06/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328274
GSE333859,A global view of cell-type-specific temporal dynamics in mammalian aging,exclude,5,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,skin_direct,,,,,0,2026/06/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE333859
GSE331488,A global view of cell-type-specific temporal dynamics in mammalian aging [I],exclude,5,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,skin_direct,,,,,0,2026/05/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE331488
GSE331489,A global view of cell-type-specific temporal dynamics in mammalian aging [II],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,,0,2026/05/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE331489
GSE329677,"DNA damage drives a unique, Alzheimer’s disease-relevant senescent state in neurons",exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,neurologic,0,2026/05/29,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329677
GSE326951,Effect of sauchinone on gene expression in UVB-induced photoaging of dermal fibroblasts,include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; dermis; dermal_fibroblast,photoaging,dermal_sample,photoaging_model,,,,1,2026/05/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326951
GSE331479,Male-biased immune ageing in a polygynous bat,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic,,,,,,0,2026/05/21,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE331479
GSE266221,Acute UV effect on epidermal transcriptome profiling in male and female Wild Type (SKH-1/SV129/BL6/J) mice and deficient for PPARbeta (SKH-1/SV129/BL6/J PPARD-/-) littermates.,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis,,,,,,,0,2026/05/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266221
GSE288480,The Arp2/3 complex maintains genome integrity and survival of epidermal Langerhans cells,exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,epidermis,aging_generic,,,,,,0,2026/05/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288480
GSE304124,Mapping Cellular Senescence in Human Dental Follicle and Odontogenic Keratocyst,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,dental,0,2026/05/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304124
GSE330865,Multiorgan transcriptomics and circulating extracellular vesicle profiling reveal age-dependent systemic vulnerability to isoflurane anesthesia and surgery,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aged; young_vs_old,,,,,,0,2026/05/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE330865
GSE290999,DNA methylation gain at polycomb CpG islands is a hallmark of cellular aging,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic; young_vs_old,,,,,,0,2026/05/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290999
GSE294378,Comprehensive analysis of the biological properties of BIOGF1K via the construction of a competing endogenous RNA network,include,7,皮肤样本用于验证抗衰老或年轻化干预,include,皮肤样本用于验证抗衰老或年轻化干预,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte,photoaging; aging_generic; rejuvenation,keratinocyte_sample,,anti_aging_intervention,,,1,2026/04/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294378
GSE325357,The homozygous founder Psmb8 variant of Nakajo-Nishimura syndrome/proteasome-associated autoinflammatory syndrome causes panniculitis-associated lipoatrophy and a shortened lifespan in mice,exclude,0,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,exclude,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,two_stage_rule,True,intrinsic_skin_aging,skin,aged,,,,,,0,2026/04/24,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325357
GSE317550,miRNA expression profiling of mouse hearts following myocardial infarction,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,,,,,,,0,2026/04/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE317550
GSE328341,Diminished and Altered Cellular Senescence Response in Delayed Wound Healing of Aging,exclude,4,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,aged_skin_repair,,aging_generic; aged; young_vs_old; senescence,,,,,,0,2026/04/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328341
GSE264314,Topical application of Urolithin A slows intrinsic skin aging and protects from UVB-mediated photodamage: Findings from Randomized Clinical Trials,include,18,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin,skin_aging; photoaging; chronological_aging; aging_generic; aged,skin_biopsy; skin_punch_biopsy,,aged_skin_treatment,,,1,2026/04/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264314
GSE327760,Deciphering molecular responses to radiofrequency microneedling in a 3D human skin model: New insights and modulation by aftercare treatment,include,7,皮肤样本用于验证抗衰老或年轻化干预,exclude,研究未使用 aged、senescent 或 photoaged 模型；skin rejuvenation 只是射频微针后的修复性表述。,evidence_adjudication,True,intrinsic_skin_aging,skin; epidermis; dermis,rejuvenation,skin_direct,,anti_aging_intervention,,,0,2026/04/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE327760
GSE300269,Loss of WWOX Drives Cutaneous Squamous Cell Carcinoma (cSCC) through Regulating EMT [RNA-Seq],exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; cutaneous; epidermis; keratinocyte,,,,,,cancer,0,2026/04/13,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300269
GSE312732,Tomatidine is a senotherapeutic compound that improves cognitive function and reduces cellular senescence in aged mice,exclude,4,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,exclude,SuperSeries 的实际子研究指向非皮肤细胞，皮肤老化仅为背景,two_stage_rule,True,cellular_senescence,skin,age_related; aging_generic; aged; senescence,,,,,,0,2026/04/03,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312732
GSE300270,Loss of WWOX Drives Cutaneous Squamous Cell Carcinoma (cSCC) through Regulating EMT,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,cutaneous,,,,,,cancer,0,2026/04/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300270
GSE326187,Combined dopamine receptor inhibition and radiotherapy target mesothelioma-initiating cells and increase survival in a mouse model of mesothelioma,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,senescence,,,,,,0,2026/04/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326187
GSE326090,"Inertia-driven, self-powered electrotherapy for enhanced wound regeneration",exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis,aging_generic,,,,,,0,2026/03/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326090
GSE293125,DNA methylation differences underlying female reproductive aging,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic,,,,,reproductive,0,2026/03/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293125
GSE300231,Age-related gene expression alteration responding to mechanical force and TGFβ signaling [ATAC-seq],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic; young_vs_old; rejuvenation,,,,,,0,2026/03/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300231
GSE318600,Psoriasis-like disease prevents squamous skin tumor development by neutrophil-driven inflammation,exclude,4,研究核心为特定疾病模型，未直接研究皮肤老化,exclude,研究核心为特定疾病模型，未直接研究皮肤老化,two_stage_rule,True,intrinsic_skin_aging,skin; cutaneous; keratinocyte,senescence,skin_direct; skin_tissue,,,,cancer; other_disease,1,2026/03/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318600
GSE302932,Transcriptomic profiling of chlorogenic acid and taurine treatment in human skin cells provides insights into cellular senescence mechanisms,include,16,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,skin; epidermis; keratinocyte; melanocyte,skin_aging; aging_generic; senescence; rejuvenation,keratinocyte_sample; melanocyte_sample,,anti_aging_intervention,,,3,2026/03/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302932
GSE325226,CD69 regulates the tissue dynamics of epigenetically imprinted memory CD4+ T cells [scRNA-seq],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin,,,,,,,0,2026/03/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE325226
GSE310764,The post-reproductive ovary shifts from a reproductive to an immune organ,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; young_vs_old; senescence,,,,,reproductive,0,2026/03/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310764
