Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Stage1_Pass,Scope_Category,Skin_Terms,Aging_Terms,Sample_Terms,Age_Contrast_Terms,Intervention_Terms,Incidental_Signals,Off_Topic_Signals,Central_Sentences,Submission_Date,GEO_Link
GSE288574,Convergence of aging- and rejuvenation-related epigenetic alterations on PRC2 targets [ChIP-Seq],include,12,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,rejuvenation_intervention,skin; epidermis,aging_generic; young_vs_old; rejuvenation,skin_direct,young_vs_old,,,,1,2026/02/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288574
GSE289856,Convergence of aging- and rejuvenation-related epigenetic alterations on PRC2 targets,exclude,4,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,aging_generic; rejuvenation,,,,,,0,2026/02/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289856
GSE317288,Increased stiffness mimicking ovarian aging induces a fibroinflammatory response in follicles and impairs oocyte quality,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; young_vs_old,,,,,reproductive,0,2026/01/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE317288
GSE288033,Functional dissection of ovarian aging-associated genes NDUFS5 and UBE2L3 through integrated genomic analyses and validation,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic,,,,,reproductive,0,2026/01/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288033
GSE304036,Non-invasive epidermis sampling for DNA methylation-based prediction of skin cancer phenotypes,exclude,5,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,exclude,研究核心为肿瘤，缺少皮肤老化样本与年龄对照的共同证据,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; keratinocyte,skin_aging; aging_generic,,,,,cancer,2,2026/01/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304036
GSE294119,Study on the Effects of Retinoids on UVR-Induced Skin Photoaging [scRNA-seq],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin,photoaging; aging_generic,skin_direct,photoaging_model,anti_aging_intervention,,,1,2026/01/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294119
GSE294120,Study on the Effects of Retinoids on UVR-Induced Skin Photoaging [Spatial Transcriptomics],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin,photoaging; aging_generic,skin_direct,photoaging_model,anti_aging_intervention,,,1,2026/01/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294120
GSE294121,Study on the Effects of Retinoids on UVR-Induced Skin Photoaging [RNA-seq],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; dermis; dermal_fibroblast,photoaging; aging_generic,dermal_sample,photoaging_model,anti_aging_intervention,,,1,2026/01/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294121
GSE312362,"Decreased S100A7 expression is linked to altered differentiation-, autophagy- and senescence-related programs during skin aging",include,18,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,cellular_senescence,skin; epidermis; keratinocyte,skin_aging; aging_generic; aged; young_vs_old; senescence,keratinocyte_sample,young_vs_old,,,,2,2026/01/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312362
GSE302754,Transcriptome analysis of Mus musculus skin from experimental studies on grape seed extract NSPCC1 intervention in skin aging,include,13,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,photoaging,skin,skin_aging; photoaging; aging_generic,skin_direct,,,,,2,2026/01/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302754
GSE238259,Akr1b7 functions as a master regulator in ovarian aging [RNA-seq],exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; aged; young_vs_old,,,,,reproductive,0,2026/01/06,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238259
GSE238260,Akr1b7 functions as a master regulator in ovarian aging [superSAGE],exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,aging_generic; aged; young_vs_old,,,,,reproductive,0,2026/01/06,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238260
GSE134533,Transcriptomic analysis and identification of paracrine factors responsible for protective effects of keratinocytes on UVB-mediated melanocyte responses,exclude,12,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,photoaging,skin; cutaneous; epidermis; dermis; dermal_fibroblast; keratinocyte; melanocyte,photoaging,dermal_sample; hdf; keratinocyte_sample,,,,,0,2025/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134533
GSE305493,Staphylococcus aureus intoxicates stem cells to accelerate repair,exclude,3,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,cellular_senescence,skin; epidermis,senescence,skin_direct,,,,,0,2025/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305493
GSE269715,Defective RNA processing and ELOA-mediated transcriptional elongation in reversible cellular senescence suggest aging by transcription,exclude,1,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,aging_generic; senescence,,,,,cancer,0,2025/12/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269715
GSE269717,Defective RNA processing and ELOA-mediated transcriptional elongation in reversible cellular senescence suggest aging by transcription,exclude,1,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,aging_generic; senescence,,,,,cancer,0,2025/12/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269717
GSE269948,Defective RNA processing and ELOA-mediated transcriptional elongation in reversible cellular senescence suggest aging by transcription,exclude,4,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,aging_generic; senescence,,,,,,0,2025/12/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269948
GSE297352,Defective RNA processing and ELOA-mediated transcriptional elongation in reversible cellular senescence suggest aging by transcription,exclude,4,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,aging_generic; senescence,,senescent_control,,,cancer,0,2025/12/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297352
GSE297559,Space radiation induces distinct senescent phenotypes: Implications for space travel [scRNA-Seq],exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,,,,,,0,2025/12/09,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE297559
